start_time,away_team,away_team_score,home_team,home_team_score
2022-11-01 00:00:00+00:00,DETROIT PISTONS,108,MILWAUKEE BUCKS,110
2022-11-01 01:00:00+00:00,MEMPHIS GRIZZLIES,105,UTAH JAZZ,121
2022-11-01 02:30:00+00:00,HOUSTON ROCKETS,93,LOS ANGELES CLIPPERS,95
2022-11-01 23:30:00+00:00,CHICAGO BULLS,108,BROOKLYN NETS,99
2022-11-01 23:30:00+00:00,GOLDEN STATE WARRIORS,109,MIAMI HEAT,116
2022-11-02 00:00:00+00:00,ORLANDO MAGIC,108,OKLAHOMA CITY THUNDER,116
2022-11-02 02:00:00+00:00,MINNESOTA TIMBERWOLVES,107,PHOENIX SUNS,116
2022-11-02 22:00:00+00:00,WASHINGTON WIZARDS,121,PHILADELPHIA 76ERS,111
2022-11-02 23:30:00+00:00,BOSTON CELTICS,113,CLEVELAND CAVALIERS,114
2022-11-02 23:30:00+00:00,SACRAMENTO KINGS,107,MIAMI HEAT,110
2022-11-02 23:30:00+00:00,ATLANTA HAWKS,112,NEW YORK KNICKS,99
2022-11-03 00:00:00+00:00,CHARLOTTE HORNETS,88,CHICAGO BULLS,106
2022-11-03 00:00:00+00:00,LOS ANGELES CLIPPERS,109,HOUSTON ROCKETS,101
2022-11-03 00:00:00+00:00,DETROIT PISTONS,91,MILWAUKEE BUCKS,116
2022-11-03 00:00:00+00:00,TORONTO RAPTORS,143,SAN ANTONIO SPURS,100
2022-11-03 00:30:00+00:00,UTAH JAZZ,100,DALLAS MAVERICKS,103
2022-11-03 02:00:00+00:00,MEMPHIS GRIZZLIES,111,PORTLAND TRAIL BLAZERS,106
2022-11-03 02:30:00+00:00,NEW ORLEANS PELICANS,117,LOS ANGELES LAKERS,120
2022-11-03 23:00:00+00:00,GOLDEN STATE WARRIORS,129,ORLANDO MAGIC,130
2022-11-04 00:00:00+00:00,DENVER NUGGETS,122,OKLAHOMA CITY THUNDER,110
2022-11-04 23:00:00+00:00,CLEVELAND CAVALIERS,112,DETROIT PISTONS,88
2022-11-04 23:00:00+00:00,MIAMI HEAT,99,INDIANA PACERS,101
2022-11-04 23:00:00+00:00,NEW YORK KNICKS,106,PHILADELPHIA 76ERS,104
2022-11-04 23:00:00+00:00,BROOKLYN NETS,128,WASHINGTON WIZARDS,86
2022-11-04 23:30:00+00:00,CHICAGO BULLS,119,BOSTON CELTICS,123
2022-11-05 00:00:00+00:00,CHARLOTTE HORNETS,99,MEMPHIS GRIZZLIES,130
2022-11-05 00:00:00+00:00,LOS ANGELES CLIPPERS,113,SAN ANTONIO SPURS,106
2022-11-05 00:30:00+00:00,TORONTO RAPTORS,110,DALLAS MAVERICKS,111
2022-11-05 00:30:00+00:00,GOLDEN STATE WARRIORS,105,NEW ORLEANS PELICANS,114
2022-11-05 02:00:00+00:00,MILWAUKEE BUCKS,115,MINNESOTA TIMBERWOLVES,102
2022-11-05 02:00:00+00:00,PORTLAND TRAIL BLAZERS,108,PHOENIX SUNS,106
2022-11-05 02:30:00+00:00,UTAH JAZZ,130,LOS ANGELES LAKERS,116
2022-11-05 21:00:00+00:00,SACRAMENTO KINGS,126,ORLANDO MAGIC,123
2022-11-05 23:00:00+00:00,BROOKLYN NETS,98,CHARLOTTE HORNETS,94
2022-11-05 23:30:00+00:00,NEW ORLEANS PELICANS,121,ATLANTA HAWKS,124
2022-11-05 23:30:00+00:00,BOSTON CELTICS,133,NEW YORK KNICKS,118
2022-11-06 00:00:00+00:00,OKLAHOMA CITY THUNDER,94,MILWAUKEE BUCKS,108
2022-11-06 00:00:00+00:00,HOUSTON ROCKETS,117,MINNESOTA TIMBERWOLVES,129
2022-11-06 01:00:00+00:00,SAN ANTONIO SPURS,101,DENVER NUGGETS,126
2022-11-06 02:00:00+00:00,PORTLAND TRAIL BLAZERS,82,PHOENIX SUNS,102
2022-11-06 20:30:00+00:00,CLEVELAND CAVALIERS,114,LOS ANGELES LAKERS,100
2022-11-06 23:00:00+00:00,WASHINGTON WIZARDS,97,MEMPHIS GRIZZLIES,103
2022-11-06 23:00:00+00:00,CHICAGO BULLS,104,TORONTO RAPTORS,113
2022-11-07 03:00:00+00:00,UTAH JAZZ,110,LOS ANGELES CLIPPERS,102
2022-11-08 00:00:00+00:00,WASHINGTON WIZARDS,108,CHARLOTTE HORNETS,100
2022-11-08 00:15:00+00:00,HOUSTON ROCKETS,134,ORLANDO MAGIC,127
2022-11-08 00:30:00+00:00,OKLAHOMA CITY THUNDER,103,DETROIT PISTONS,112
2022-11-08 00:45:00+00:00,NEW ORLEANS PELICANS,122,INDIANA PACERS,129
2022-11-08 01:00:00+00:00,PHOENIX SUNS,88,PHILADELPHIA 76ERS,100
2022-11-08 01:15:00+00:00,MILWAUKEE BUCKS,98,ATLANTA HAWKS,117
2022-11-08 01:30:00+00:00,PORTLAND TRAIL BLAZERS,110,MIAMI HEAT,107
2022-11-08 01:45:00+00:00,TORONTO RAPTORS,97,CHICAGO BULLS,111
2022-11-08 02:00:00+00:00,BOSTON CELTICS,109,MEMPHIS GRIZZLIES,106
2022-11-08 02:15:00+00:00,NEW YORK KNICKS,120,MINNESOTA TIMBERWOLVES,107
2022-11-08 02:30:00+00:00,DENVER NUGGETS,115,SAN ANTONIO SPURS,109
2022-11-08 02:45:00+00:00,BROOKLYN NETS,94,DALLAS MAVERICKS,96
2022-11-08 03:00:00+00:00,SACRAMENTO KINGS,113,GOLDEN STATE WARRIORS,116
2022-11-08 03:15:00+00:00,LOS ANGELES LAKERS,116,UTAH JAZZ,139
2022-11-08 03:30:00+00:00,CLEVELAND CAVALIERS,117,LOS ANGELES CLIPPERS,119
2022-11-09 22:30:00+00:00,DALLAS MAVERICKS,87,ORLANDO MAGIC,94
2022-11-10 00:00:00+00:00,PORTLAND TRAIL BLAZERS,105,CHARLOTTE HORNETS,95
2022-11-10 00:00:00+00:00,DENVER NUGGETS,122,INDIANA PACERS,119
2022-11-10 00:30:00+00:00,UTAH JAZZ,125,ATLANTA HAWKS,119
2022-11-10 00:30:00+00:00,DETROIT PISTONS,112,BOSTON CELTICS,128
2022-11-10 00:30:00+00:00,NEW YORK KNICKS,85,BROOKLYN NETS,112
2022-11-10 00:30:00+00:00,HOUSTON ROCKETS,109,TORONTO RAPTORS,116
2022-11-10 01:00:00+00:00,NEW ORLEANS PELICANS,115,CHICAGO BULLS,111
2022-11-10 01:00:00+00:00,PHOENIX SUNS,129,MINNESOTA TIMBERWOLVES,117
2022-11-10 01:00:00+00:00,MILWAUKEE BUCKS,136,OKLAHOMA CITY THUNDER,132
2022-11-10 01:00:00+00:00,MEMPHIS GRIZZLIES,124,SAN ANTONIO SPURS,122
2022-11-10 03:00:00+00:00,LOS ANGELES LAKERS,101,LOS ANGELES CLIPPERS,114
2022-11-10 03:00:00+00:00,CLEVELAND CAVALIERS,120,SACRAMENTO KINGS,127
2022-11-11 00:00:00+00:00,DALLAS MAVERICKS,105,WASHINGTON WIZARDS,113
2022-11-11 00:30:00+00:00,PHILADELPHIA 76ERS,95,ATLANTA HAWKS,104
2022-11-11 00:30:00+00:00,CHARLOTTE HORNETS,112,MIAMI HEAT,117
2022-11-11 01:00:00+00:00,PORTLAND TRAIL BLAZERS,106,NEW ORLEANS PELICANS,95
2022-11-12 00:00:00+00:00,DENVER NUGGETS,112,BOSTON CELTICS,131
2022-11-12 00:00:00+00:00,PHOENIX SUNS,97,ORLANDO MAGIC,114
2022-11-12 00:30:00+00:00,DETROIT PISTONS,112,NEW YORK KNICKS,121
2022-11-12 01:00:00+00:00,TORONTO RAPTORS,113,OKLAHOMA CITY THUNDER,132
2022-11-12 01:00:00+00:00,MILWAUKEE BUCKS,93,SAN ANTONIO SPURS,111
2022-11-12 02:30:00+00:00,MINNESOTA TIMBERWOLVES,103,MEMPHIS GRIZZLIES,114
2022-11-12 03:00:00+00:00,CLEVELAND CAVALIERS,101,GOLDEN STATE WARRIORS,106
2022-11-12 03:30:00+00:00,SACRAMENTO KINGS,120,LOS ANGELES LAKERS,114
2022-11-12 21:00:00+00:00,BROOKLYN NETS,110,LOS ANGELES CLIPPERS,95
2022-11-12 23:00:00+00:00,UTAH JAZZ,112,WASHINGTON WIZARDS,121
2022-11-13 00:00:00+00:00,BOSTON CELTICS,117,DETROIT PISTONS,108
2022-11-13 00:00:00+00:00,TORONTO RAPTORS,104,INDIANA PACERS,118
2022-11-13 00:30:00+00:00,ATLANTA HAWKS,109,PHILADELPHIA 76ERS,121
2022-11-13 01:00:00+00:00,CHARLOTTE HORNETS,115,MIAMI HEAT,132
2022-11-13 01:30:00+00:00,PORTLAND TRAIL BLAZERS,112,DALLAS MAVERICKS,117
